Age,DistToWork,Education,Ethnic,Gender,HomeType,Income,MarStatus,NbrInHouseHold,NbrInHouseholdUnder18,Rider,YrsInArea
7,14,3,White,F,Apartment,3,Divorced,1,0,1,5
7,10,5,White,M,House,8,Married,2,0,0,5
3,9,3,White,M,Apartment,1,Single,1,0,1,5
1,13,2,White,M,House,1,Single,5,3,1,5
3,14,5,White,F,House,2,Married,3,1,1,5
1,12,2,Pacific,M,House,1,Single,5,0,1,5
2,10,4,White,M,Apartment,3,LivTogether,4,2,1,2
3,13,5,Hispanic,M,Other,6,Single,1,0,0,5
7,9,3,White,M,Mobile,4,Married,2,0,0,4
2,10,4,Hispanic,F,House,8,Single,2,0,1,5
2,12,4,White,F,House,2,Single,3,0,1,5
2,13,3,Asian,M,House,1,Single,4,1,1,5
3,12,4,Other,F,House,4,LivTogether,4,1,1,2
1,11,2,Asian,F,Apartment,1,Single,9,7,1,4
2,13,3,Black,M,Apartment,3,Single,1,0,1,5
2,11,4,Hispanic,M,House,2,Single,6,0,1,5
4,11,3,Black,F,Apartment,3,Divorced,1,0,0,4
7,11,5,White,M,House,8,Married,2,0,0,5
6,13,1,Hispanic,F,House,2,Married,4,1,1,3
1,10,2,White,M,House,8,Single,3,1,0,5
2,13,3,Other,M,House,6,Married,2,0,0,5
6,9,6,Pacific,M,House,8,Married,9,2,0,4
3,11,6,Asian,F,Apartment,4,Single,2,0,1,4
3,13,4,Asian,F,House,8,Married,2,0,1,5
1,12,2,White,F,House,1,Single,8,6,1,5
1,13,2,Hispanic,F,Other,1,Single,4,1,1,4
4,9,6,White,F,House,7,Married,2,0,1,3
1,14,2,White,M,House,9,Single,4,2,1,5
2,8,3,White,M,Condo,6,Single,3,0,0,5
2,12,4,Black,F,House,5,Married,2,0,1,5
2,8,2,White,F,House,8,Single,4,1,1,5
7,10,4,White,F,House,4,Married,2,0,0,5
5,11,5,White,F,House,9,Married,2,0,0,3
2,15,2,Hispanic,M,House,7,Single,5,2,1,5
6,8,4,White,F,House,1,Divorced,1,0,1,5
5,14,3,White,F,House,8,Married,5,1,0,5
3,10,5,White,F,Apartment,4,LivTogether,2,0,0,3
7,10,4,White,F,Apartment,1,Widowed,1,0,1,5
1,13,1,Hispanic,M,House,1,Single,5,3,1,5
3,9,4,White,F,Apartment,6,Married,2,0,1,1
4,10,6,White,M,House,8,Married,7,5,0,5
5,10,5,White,M,House,9,Married,4,1,0,5
2,11,3,White,M,Apartment,2,Single,1,0,1,2
7,15,2,White,F,Other,2,Widowed,1,0,1,5
1,7,2,White,F,House,1,Single,7,5,1,3
2,10,3,White,M,Apartment,2,Single,1,0,1,2
4,10,6,Black,M,Apartment,6,Divorced,1,0,0,5
4,17,6,White,F,House,8,Married,2,0,0,5
